input : /root/jass/jobs/results/0160-gen-more-data-3M/artefacts.src/selfplay-3M.jnnw (3000000 records, processing 375000 from offset 0, drop_skipped=True)
  334000/375000  (89.1%)  rate=202.5 pos/s  eta=3.4 min  written=300692 skipped=33308
  335000/375000  (89.3%)  rate=202.5 pos/s  eta=3.3 min  written=301613 skipped=33387
  336000/375000  (89.6%)  rate=202.5 pos/s  eta=3.2 min  written=302504 skipped=33496
  337000/375000  (89.9%)  rate=202.5 pos/s  eta=3.1 min  written=303418 skipped=33582
  338000/375000  (90.1%)  rate=202.5 pos/s  eta=3.0 min  written=304327 skipped=33673
  339000/375000  (90.4%)  rate=202.5 pos/s  eta=3.0 min  written=305241 skipped=33759
  340000/375000  (90.7%)  rate=202.5 pos/s  eta=2.9 min  written=306135 skipped=33865
  341000/375000  (90.9%)  rate=202.5 pos/s  eta=2.8 min  written=307024 skipped=33976
  342000/375000  (91.2%)  rate=202.4 pos/s  eta=2.7 min  written=307934 skipped=34066
  343000/375000  (91.5%)  rate=202.5 pos/s  eta=2.6 min  written=308832 skipped=34168
  346000/375000  (92.3%)  rate=202.5 pos/s  eta=2.4 min  written=311529 skipped=34471
  347000/375000  (92.5%)  rate=202.5 pos/s  eta=2.3 min  written=312410 skipped=34590
  348000/375000  (92.8%)  rate=202.5 pos/s  eta=2.2 min  written=313304 skipped=34696
  349000/375000  (93.1%)  rate=202.5 pos/s  eta=2.1 min  written=314210 skipped=34790
  350000/375000  (93.3%)  rate=202.4 pos/s  eta=2.1 min  written=315135 skipped=34865
  352000/375000  (93.9%)  rate=202.4 pos/s  eta=1.9 min  written=316961 skipped=35039
  353000/375000  (94.1%)  rate=202.4 pos/s  eta=1.8 min  written=317849 skipped=35151
  354000/375000  (94.4%)  rate=202.4 pos/s  eta=1.7 min  written=318744 skipped=35256
  355000/375000  (94.7%)  rate=202.5 pos/s  eta=1.6 min  written=319643 skipped=35357
  356000/375000  (94.9%)  rate=202.5 pos/s  eta=1.6 min  written=320541 skipped=35459
  359000/375000  (95.7%)  rate=202.5 pos/s  eta=1.3 min  written=323253 skipped=35747
  360000/375000  (96.0%)  rate=202.5 pos/s  eta=1.2 min  written=324172 skipped=35828
  363000/375000  (96.8%)  rate=202.4 pos/s  eta=1.0 min  written=326842 skipped=36158
  365000/375000  (97.3%)  rate=202.4 pos/s  eta=0.8 min  written=328668 skipped=36332
  367000/375000  (97.9%)  rate=202.4 pos/s  eta=0.7 min  written=330451 skipped=36549
  368000/375000  (98.1%)  rate=202.4 pos/s  eta=0.6 min  written=331356 skipped=36644
  369000/375000  (98.4%)  rate=202.4 pos/s  eta=0.5 min  written=332243 skipped=36757
  370000/375000  (98.7%)  rate=202.4 pos/s  eta=0.4 min  written=333136 skipped=36864
  371000/375000  (98.9%)  rate=202.4 pos/s  eta=0.3 min  written=334054 skipped=36946
